src_region,dst_region,edge_weight,edge_type
cM1,cPnO,0.014053581118373496,contra_internal
iM1,iIC,0.07412245147161124,ipsi
cM1,cIC,0.07412245147161124,contra_internal
iM1,iM2,0.12765770080214017,ipsi
cM1,cM2,0.12765770080214017,contra_internal
iM1,iM,0.20263670109233936,ipsi
cM1,cM,0.20263670109233936,contra_internal
iM1,iPAG,0.018078734482520273,ipsi
cM1,cPAG,0.018078734482520273,contra_internal
iM1,iVMThal,0.0498834079676847,ipsi
cM1,cVMThal,0.0498834079676847,contra_internal
iM1,iSuC,0.04880399191180372,ipsi
cM1,cSuC,0.04880399191180372,contra_internal
iM1,iot,0.020769212029202497,ipsi
cM1,cot,0.020769212029202497,contra_internal
iM1,iSN,0.04593288519096759,ipsi
cM1,cSN,0.04593288519096759,contra_internal
iM1,iS2,0.20157705673331058,ipsi
cM1,cS2,0.20157705673331058,contra_internal
iM1,iS1,0.17294617079665175,ipsi
cM1,cS1,0.17294617079665175,contra_internal
iM1,iS1-b,0.05672501188086888,ipsi
cM1,cS1-b,0.05672501188086888,contra_internal
iM1,iIns,0.05064376524961424,ipsi
cM1,cIns,0.05064376524961424,contra_internal
iM1,iVTA,0.015708687956613666,ipsi
cM1,cVTA,0.015708687956613666,contra_internal
iM2,iCg,0.021670272815395103,ipsi
cM2,cCg,0.021670272815395103,contra_internal
iM2,iAcb,0.054288723978708785,ipsi
cM2,cAcb,0.054288723978708785,contra_internal
iM2,iAI,0.01256905548740879,ipsi
cM2,cAI,0.01256905548740879,contra_internal
iM2,iAI-b,0.010406651558012755,ipsi
cM2,cAI-b,0.010406651558012755,contra_internal
iM2,iMDThal,0.015183708526398073,ipsi
cM2,cMDThal,0.015183708526398073,contra_internal
iM2,iDpMe,0.061998201384465816,ipsi
cM2,cDpMe,0.061998201384465816,contra_internal
iM2,iAu,0.0286393084228915,ipsi
cM2,cAu,0.0286393084228915,contra_internal
iM2,iCl,0.025395205901616816,ipsi
cM2,cCl,0.025395205901616816,contra_internal
iM2,iCPu,0.5637114344471335,ipsi
cM2,cCPu,0.5637114344471335,contra_internal
iM2,iPnO,0.02481174481743998,ipsi
cM2,cPnO,0.02481174481743998,contra_internal
iM2,iEct,0.032044602314412106,ipsi
cM2,cEct,0.032044602314412106,contra_internal
iM2,iLEnt,0.02520341944486271,ipsi
cM2,cLEnt,0.02520341944486271,contra_internal
iM2,iEnt,0.012818090250827606,ipsi
cM2,cEnt,0.012818090250827606,contra_internal
iM2,iDEn,0.013147558377498238,ipsi
cM2,cDEn,0.013147558377498238,contra_internal
